id	subject	day	starttime	length	teacher	group	room	period	experiod	inweek	exweek	exclass	realweeks	equipment
2996837	Egen rast	Tor	1320	30	NE							0	33-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2997730	SH	Tor	1320	60	JE	9c	103			34-42	41	0	34-40, 42	
2997731	GE	Tor	1320	60	JE	9c	103			45-51		0	45-51	
2997732	HI	Tor	1320	60	JE	9c	103			3-7, 9-13		0	3-7, 9-13	
2997733	RE	Tor	1320	60	JE	9c	103			15-17, 19, 21-23		0	15-17, 19, 21-23	
2998348	EN	Tor	1320	60	TP	9d	108				41, 43	0	33-40, 42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2997500	Rastvakt	Tor	1325	20	SzF							0	33-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998654	Mentor time	Tor	1325	25	JH,NK	8c	202					0	34-42, 45, 48-51, 3-7, 9-13, 15-17, 19, 21-24	
2997003	Junior Club	Tor	1330	180	Vivi,TL							0	33-43, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2997758	IDH	Tor	1330	60	ARS	8a	Idrottshall					0	34-42, 45, 48-51, 3-7, 9-13, 15-17, 19, 21-24	
2997103	MA	Tor	1335	60	ABE	9b	201				41, 43	0	33-40, 42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998017	MA	Tor	1335	60	FO	8d	302					0	34-42, 45, 48-51, 3-7, 9-13, 15-17, 19, 21-24	
2998054	RE	Tor	1335	60	ZJ	7b	101			34-40		0	34-40	
2998406	HI	Tor	1335	60	ZJ	7b	101			41-42, 45-51		0	41-42, 45-51	
2998558	SH	Tor	1335	60	ZJ	7b	101			3-7, 9-13		0	3-7, 9-13	
2998607	GE	Tor	1335	60	ZJ	7b	101			15-17, 19, 21-23		0	15-17, 19, 21-23	
2996770	SP2	Tor	1340	60	PCG	SP7:3	102					0	34-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2997583	Språkval SVEN	Tor	1340	60	TA	SV/EN 7:1	Group Room 1					0	34-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998401	MA	Tor	1340	60	JAW	7a	204					0	34-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998739	FR2	Tor	1340	60	SL	FR7:1	303					0	34-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998761	SP2	Tor	1340	60	JuRu	SP7:4	301					0	34-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
3035346	Rast JS	Tor	1340	15	ZC,FS							0	33-43, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998477	EN	Tor	1345	60	KBE	8b	107					0	34-42, 45, 48-51, 3-7, 9-13, 15-17, 19, 21-24	
2996832	HoD/HoY	Tor	1350	90	NE							0	33-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2997305	HKK	Tor	1350	120	CK	8c:a	Hemkunskap	HT				0	34-42, 45, 48-51	
2998193	EN	Tor	1350	60	CA	5a	209					0	34-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998505	No-Lab	Tor	1350	55	NK	8c:b	No-lab 1	HT				0	34-42, 45, 48-51	
2998507	HKK	Tor	1350	120	CK	8c:b	Hemkunskap	VT				0	3-7, 9-13, 15-17, 19, 21-24	
2998526	No-Lab	Tor	1350	55	NK	8c:a	No-lab 1	VT				0	3-7, 9-13, 15-17, 19, 21-24	
2998538	Mentor time	Tor	1350	30	AS	9a	202				41, 43	0	33-40, 42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2997026	Egen rast	Tor	1400	30	ZC							0	33-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2997591	BI	Tor	1400	60	ARE	6d	205			13, 15-17, 19, 21-23		0	13, 15-17, 19, 21-23	
2997592	FY	Tor	1400	60	ARE	6d	205			3-7, 9-12		0	3-7, 9-12	
2997593	KE	Tor	1400	60	ARE	6d	205			42, 45-51		0	42, 45-51	
2997881	TK	Tor	1400	60	ARE	6d	205			34-41		0	34-41	
2997893	SH	Tor	1400	60	LiP	5b	210			34-42		0	34-42	
2997894	GE	Tor	1400	60	LiP	5b	210			45-51		0	45-51	
2997895	HI	Tor	1400	60	LiP	5b	210			3-7, 9-12		0	3-7, 9-12	
2997896	RE	Tor	1400	60	LiP	5b	210			13, 15-17, 19, 21-23		0	13, 15-17, 19, 21-23	
2998595	SV	Tor	1400	60	OE,DM	6b	203					0	34-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998613	Student Care Team	Tor	1400	60	SzF,KB,HL,SN,LN,SAN,ANN,AN,HR,LS,JS		105					0	33-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998644	MA	Tor	1400	60	AG	6a	104					0	34-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998768	Rastvakt	Tor	1400	20	AW							0	33-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2997375	Rastvakt	Tor	1410	20	JA							0	33-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2998140	SLTM	Tor	1425	70	NA	9c:b	Träslöjd	HT			41, 43	0	33-40, 42, 45-51	
2998142	SLTX	Tor	1425	70	AHa	9c:a	Textilslöjd	HT			41, 43	0	33-40, 42, 45-51	
2998143	SLTM	Tor	1425	70	NA	9c:a	Träslöjd	VT				0	3-7, 9-13, 15-17, 19, 21-24	
2998144	SLTX	Tor	1425	70	AHa	9c:b	Textilslöjd	VT				0	3-7, 9-13, 15-17, 19, 21-24	
2998357	EN	Tor	1425	60	TP	9a	108				41, 43	0	33-40, 42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
2997394	BL	Tor	1430	90	AS	9d:b	Bildsal	HT			41, 43	0	33-40, 42, 45-51	
2997405	MU	Tor	1430	90	CÖ	9d:a	Music room	HT			41, 43	0	33-40, 42, 45-51	
2997416	BL	Tor	1430	90	AS	9d:a	Bildsal	VT				0	3-7, 9-13, 15-17, 19, 21-24	
2997427	MU	Tor	1430	90	CÖ	9d:b	Music room	VT				0	3-7, 9-13, 15-17, 19, 21-24	
2997882	IDH	Tor	1430	80	YO	6c	Idrottshall					0	34-42, 45-51, 3-7, 9-13, 15-17, 19, 21-24	
